id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,target
1,Female,disloyal Customer,22,Business travel,Eco,1599,3,0,3,3,4,3,4,4,5,4,4,4,5,4,0,0.0,0
2,Female,Loyal Customer,37,Business travel,Business,2810,2,4,4,4,1,4,3,5,5,4,2,1,5,2,18,18.0,0
3,Male,Loyal Customer,46,Business travel,Business,2622,1,1,1,1,4,5,5,4,4,4,4,5,4,3,0,0.0,1
4,Female,disloyal Customer,24,Business travel,Eco,2348,3,3,3,3,3,3,3,3,2,4,5,3,4,3,10,2.0,0
5,Female,Loyal Customer,58,Business travel,Business,105,3,3,3,3,4,4,5,4,4,4,4,4,4,5,0,0.0,1
6,Female,Loyal Customer,42,Business travel,Business,1780,4,4,4,4,3,3,4,5,5,4,5,3,5,4,0,0.0,1
7,Female,disloyal Customer,20,Business travel,Eco,2980,3,3,3,4,5,3,5,5,1,5,3,1,4,5,12,34.0,0
8,Male,Loyal Customer,38,Business travel,Eco,1386,4,3,3,3,4,4,4,4,1,2,2,1,5,4,0,0.0,1
9,Female,Loyal Customer,51,Business travel,Business,2346,2,2,2,2,3,4,5,3,3,3,3,3,3,3,0,0.0,1
10,Male,Loyal Customer,8,Personal Travel,Eco,1336,2,5,2,5,5,2,5,5,5,5,5,4,5,5,0,0.0,0
11,Male,Loyal Customer,40,Personal Travel,Eco,4005,3,0,3,1,1,3,1,1,5,5,5,2,3,1,0,0.0,0
12,Female,disloyal Customer,32,Business travel,Business,1561,1,1,1,1,1,1,1,1,3,3,5,5,5,1,7,0.0,0
13,Female,Loyal Customer,45,Business travel,Business,2397,0,0,0,5,3,5,4,5,5,5,5,3,5,4,0,0.0,1
14,Female,Loyal Customer,51,Business travel,Business,3017,4,4,4,4,3,4,4,5,5,5,5,5,5,5,0,0.0,1
15,Male,disloyal Customer,23,Business travel,Business,2704,5,3,5,4,3,5,3,3,4,3,5,4,4,3,26,7.0,1
16,Female,Loyal Customer,63,Business travel,Business,3294,2,1,3,3,5,4,3,2,2,2,2,3,2,3,0,0.0,0
17,Female,Loyal Customer,70,Business travel,Eco Plus,285,4,5,5,5,3,3,4,4,4,4,4,1,4,1,1,1.0,0
18,Female,Loyal Customer,39,Business travel,Business,97,1,1,1,1,4,5,4,4,4,4,4,3,4,4,0,0.0,1
19,Female,disloyal Customer,41,Business travel,Business,1690,3,3,3,4,5,3,5,5,1,1,3,3,3,5,0,0.0,0
20,Male,disloyal Customer,26,Business travel,Business,2924,0,0,0,2,1,0,1,1,5,5,4,5,4,1,0,2.0,1
21,Male,Loyal Customer,7,Personal Travel,Eco,2029,2,4,2,1,4,2,4,4,4,3,4,5,4,4,1,7.0,0
22,Male,Loyal Customer,57,Business travel,Eco,1912,4,3,3,3,4,4,4,4,2,2,4,2,4,4,9,13.0,0
23,Female,Loyal Customer,52,Business travel,Business,676,5,5,5,5,4,4,5,4,4,4,4,4,4,5,0,0.0,1
24,Male,Loyal Customer,41,Business travel,Business,2012,3,3,3,3,1,2,3,3,3,3,3,2,3,3,57,49.0,0
25,Male,Loyal Customer,60,Business travel,Business,56,3,3,3,3,5,5,5,4,4,4,5,3,4,4,9,11.0,1
26,Female,Loyal Customer,41,Business travel,Business,571,4,4,5,4,2,5,4,5,5,5,5,5,5,5,11,22.0,1
27,Female,disloyal Customer,16,Business travel,Eco,3100,3,3,3,5,2,3,2,2,4,1,5,1,2,2,0,0.0,0
