id,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,target
1,-6.149463202,-0.9297135732,9.058367607,-7.01785369,-2.958471383,0.1792329957,-0.956591009,-0.9724008563,5.956212784,4.145635732,25.01764496,-4.061253654,0.9966316174,-3.837345493,-13.95699405,-2.042957284,2.130209639,-1.957662474,-1.149930469,6.082027622,0.8786121951,5.09310164,-6.066647527,-7.026435768,-6.006282235,-6.005836109,7.043083547,21.88465021,-3.064151918,-5.247551802,-6.026107493,-11.9908216,1
2,-2.238836382,-1.003511398,5.098079008,-10.88035741,-0.8045623484,-2.992123036,26.97272407,-8.900860866,-5.968298341,-4.060133506,2.952842693,-5.046353182,1.083818651,3.978378035,-25.07254153,-2.041602138,2.912268751,-3.99803505,6.069698113,4.966186583,1.994050851,-1.132059483,14.90620531,-1.996713503,-7.933805903,-3.136772665,8.774211384,10.94475869,9.858186222,-0.9692410233,-3.935552787,-15.89242069,1
3,19.08793392,-2.092514327,0.9467495462,-21.83178755,9.119234877,17.85358741,-21.0699539,-15.93321192,-9.016038931,-5.975194445,-23.21840847,-9.000629686,9.115957141,12.09731775,-10.95436685,-3.930714164,-19.06959447,-6.118940347,-5.001345833,-9.105371221,-9.894884994,10.10761419,4.948570029,-6.889685117,54.05232952,-6.109237958,12.15459503,6.095989168,-40.19508817,-3.958123866,-8.079536839,-5.160089717,0
4,-2.211628572,-1.930903908,21.8884055,-3.067559575,-0.2406339783,2.985056155,-29.07336927,0.2007735864,-1.043742123,2.099845189,-15.12377438,-0.06986694365,-0.1142470611,-1.896108912,5.127194149,-2.877422804,2.970044319,-1.099702223,3.116766732,8.124208951,-0.9174177505,-1.027198715,14.04829826,-2.126170289,-1.03552568,2.178769268,10.03272304,-1.010896722,-3.912847934,-2.980337969,-12.98359737,-3.001076765,1
5,3.95385219,2.964892268,-36.04480185,0.899838063,26.93021023,11.00440889,-21.96242285,-11.95018858,-20.93378518,-4.000506392,16.01044186,5.961219162,9.90711511,-0.06775401092,-9.970728419,0.8684989624,1.892233291,-3.161698421,-9.225990169,3.953955969,-17.95965184,-3.115491027,-6.051674309,-2.051760546,10.91756708,1.905335251,-13.00470678,17.1695521,2.105194444,3.967985645,11.86165709,-27.08884605,2
6,28.20010861,4.038072098,-24.02788094,3.028897498,-34.99227777,1.856477795,37.07313064,26.97327669,8.934952518,-0.01260019825,9.104646514,-28.00912201,-17.87772978,3.869839257,-2.025880797,4.111642636,-3.908496305,-5.810575503,15.81871676,-1.992962307,22.08148965,-1.26096287,-11.99148526,4.753260754,-18.91178053,-2.094019141,-34.99427887,-9.886066547,4.142645708,2.036611809,44.06593244,13.09726219,2
7,-0.1397632946,-2.95041369,2.953755322,-7.895710664,-0.7678870689,-1.944781151,1.052578291,11.09061493,-0.08703333178,-1.001553642,13.85103478,-8.930885268,-0.9320618138,-2.945629146,-6.940240084,-1.093140893,2.902446385,0.9312596363,1.936647121,6.989767228,2.719527546,-1.167829758,1.965309638,-2.058084066,-2.864254266,1.977673172,-16.89756144,-7.980094883,-5.03070641,-5.962045027,14.04404255,10.83130228,1
8,-8.021071162,2.061062928,11.93665213,21.06762082,1.926317634,-5.893883385,5.9754641,-11.07830696,8.084540063,-1.14583106,-4.983483281,26.11678667,20.96535195,-3.800033288,-7.159553602,-2.918640195,11.77208669,-1.973970585,-23.92976583,-4.906327409,-4.048541362,-0.9458566037,17.88260821,-14.08177753,-1.123348091,-1.066552993,-2.032904674,1.89640765,-28.0958096,2.941605677,4.96668121,3.969256733,2
9,5.969400455,0.911457924,-6.238259442,5.089995462,3.114898844,-2.05151374,5.082373978,0.1061987726,-0.01632149824,-0.1558470356,10.03995339,-10.04776084,-4.930696893,-2.025480716,-2.888580703,1.891828911,0.9644416499,2.879963245,-8.210561537,-2.034371976,0.8060773002,-1.15481575,-5.931743775,-5.864001177,-2.145758335,-1.032791103,8.059574751,2.987379776,-4.134922052,-1.979612644,5.069693037,1.898522547,1
10,-3.02938202,-10.89857735,-33.91555256,12.05911452,2.794738089,6.007384894,7.139867026,4.150797619,1.12010888,-1.912351368,40.97928982,-4.989462323,-1.916617459,-6.306678041,-12.96208411,-8.050368565,-0.1043136647,7.017833711,-19.79606458,4.934549346,0.8924211385,1.103062645,13.00793777,1.232785707,-2.934626825,-2.938497094,-0.822473494,2.056771367,-3.91646809,-1.941259228,15.03012367,-4.860703347,3
